,event_name,event_date,event_location,event_price,event_details,geolocation
372,Del Mar Guest List,"Multiple Dates Sun, Nov 26, 2023, 2:00 AM PDT","Del Mar 2125 Lombard Street San Francisco, CA 94123","Del Mar • San Francisco, CA","Join us Friday & Saturday nights at Del Mar SFFree entry with guest list before 10 pmLocation: 2125 Lombard Street, San Francisco CA (Marina District)We are a tropically inspired bar and lounge located in the heart of the Marina district.  Our design features a custom jungle print wallpaper mural by flavor paper, hand built swings and swing chairs, a spray painted surf mural by local artist camer1, a hand sanded 14 foot natural edge walnut slab communal table, and a bar and back bar refaced with special order Shou Sugi Ban cypress from Delta Millworks in Austin, Texas.  With a full bar, tropical infusion cocktails, slushies, copper flamingo punch bowls we are sure there is something for everyone that walks through our doors.  As the sunset emerges our real party starts as our dance floor opens up to host the best DJ's that SF has to offer.",POINT (37.795308 -122.448365)
373,KAP - Kundalini Activation Process - In-person Group Session - Feb. 24th,"Fri, February 24, 2023, 7:00 PM – 8:45 PM PST","The Pad Studios 1694 Union Street San Francisco, CA 94123","The Pad Studios • San Francisco, CA","KAP (Kundalini Activation Process) is a transmission of the life force energy - Kundalini Energy. It has a profound and transformative effect on the human mind, body, and spirit. For its bliss and magic to be fully understood, we invite you to try it with us.Similar to hugging someone you love, seeing your first shooting start, discovering your new favorite city, or falling in love, KAP must be felt and experienced for its might to be grasped.Join us on this magnificent journey of self-discovery and connection.To learn more about KAP, visit KAP CaliforniaFor questions and RSVP:Instagram: @kapcaliforniaEmail: hello@kapcali.comWhatsApp: (415)-335-9711Before the session - Getting readyYour body.Your mind.",POINT (37.798217 -122.426883)
374,"The Verasphere: Art, Authenticity, Synergy, and Transformation","Wed, Feb 22, 2023, 5:30 PM PST","California College of the Arts 1111 Eighth Street San Francisco, CA 94107","California College of the Arts • San Francisco, CA","The Spring 2023 Design Lecture Series will be available both in person and online. If you'd like to attend in-person, advanced ticketing is required. To attend virtually, please RSVP for the Zoom Webinar link.San Francisco artists David Faulk and Michael Johnstone will talk about the creation of their characters, Mrs. Vera and Mr. Tina, and the coalescence of their greater community. They will trace the path of their project, from individual costuming to large-scale performances created with various communities. Michael and David will discuss the power of joy, love, and creativity in design to make meaning and build commonality.Dress wild, obviously.W﻿atch the trailer for the documentary Mrs. Vera's Daybook",POINT (37.767291 -122.400315)
375,DJ Night at Beacon Grand ft. GOMA,"Sat, February 25, 2023, 8:00 PM – 11:00 PM PST","Beacon Grand, a Union Square Hotel (formerly Sir Francis Drake) 450 Powell Street San Francisco, CA 94102","Beacon Grand, a Union Square Hotel (formerly Sir Francis Drake) • San Francisco, CA","Everybody is invited to join us for a night of free DJ'd music by Goma at the Beacon Grand, a Union Square Hotel. Attendees can enjoy fresh sounds paired with expertly crafted cocktails. We are creating a nostalgic setting punctuated by tinkling Powell Street cable car bells and live music. This event is open to the public as well as hotel guests.GOMAinstagram.com/goma_lukomaB﻿EACON GRAND450 Powell Street, San Francisco, CABeaconGrand.comBeacon Grand is creating a social circle at Union Square. We welcome guests into San Francisco’s diverse possibilities. From the hotel’s own scene—music and drinks in the Beacon Lounge, rare whiskeys in The Library, to insider knowledge that makes the whole city our guest’s world.Goma is a San Francisco based multi-genre DJ. Having grown up in Botswana, he was heavily influenced by the thriving House Music scene in Southern Africa and is deeply inspired by the growing afro-house scene globally. Hip-Hop and Afrobeats are also close to his heart. Expect to hear some of the freshest selections from across the world. He is currently a resident DJ at Baobab in SF where you can catch him spinning every 1st and 2nd Friday. instagram.com/goma_lukoma",POINT (37.788781 -122.408405)
376,Open Mic Night @ Line 51,"Multiple Dates Thu, Apr 27, 2023, 10:00 PM PDT","Line 51 Brewing 303 Castro Street Oakland, CA 94607","Line 51 Brewing • Oakland, CA",10 minute slots available every Thursday.Register your act through Eventbrite to secure your time.,POINT (37.799113 -122.281984)
377,TASTE,"Sat, Feb 25, 2023, 10:00 PM – Sun, Feb 26, 2023, 2:00 AM PST","Origin 1538 Fillmore Street San Francisco, CA 94115","Origin • San Francisco, CA",Live DJs in the mix all Night. Playing your current Hip Hop and R&B songs. Come ready to dance and have a good time! This venue includes 1 large dancefloor downstairs w/ a Full Bar and VIP sections.  Upstairs area  includes 1 Bar and more VIP sections for Bottle Service. There is also  a lounge Admission is $10 when you arrive by 10:30pm with RSVP printed or shown on you cell phone.If you miss this cut off time you can pay general admission at the door. Price may vary.VIP: Bottle Service available. Prices starting at $300. Please DM @Touchfriday on Instagram or Text 650-219-0255.Dress code: Style Dress Code Enforced. No Sweats or Hoodies. No Flip-Flops or Slides.,POINT (37.78372 -122.432696)
378,RuPaul's Drag Race Viewing Party - Starting at 8 pm Feb 24,"Fri, Feb 24, 2023, 7:45 PM – Sat, Feb 25, 2023, 9:30 PM PST","Que Rico Nightclub and Restaurant 381 15th Street Oakland, CA 94612","Que Rico Nightclub and Restaurant • Oakland, CA",Join us for Oakland's Largest RuPaul's Drag Race Viewing Party for the new Season. A No Cover Event.Every week the viewing will start at 8 pm promptly so we can party the night away right after. Each week will feature Trivia with Prizes as well as amazing performances followed by our Muevelo Party with our Sexy Go Go Dancers.Enjoy Titos and Casamigos Drink Specials as well as delicious food from our Kitchen.Go get your friends together reserve your table and have an amazing time.,POINT (37.804561 -122.268869)
379,Funtastic Fridays,"Multiple Dates Sat, Apr 1, 2023, 2:00 AM PST","FAME Venue 443 Broadway San Francisco, CA 94133","FAME Venue • San Francisco, CA","Be prepared to dance your digital assets off !! We intend to incorporate every high-technology trick in the book into your evening of excitement. Your music requests will be texted to that night’s master or mistress of music. Share and upload your dance moves to your existing social media channels.Our famous and infamous assortment of unbelievably creative and unique props can be used in our photo booth which will be e-mailed to you directly.K﻿araoke 6 PM - 8 PMMusic Genre: 70, 80, 90 & Current Top 40And did we forget to mention affordable beverages?7﻿ PM - 10 PM  $7 Cocktails-Prizes awarded for Single and Pair dance contests, with the crowd voting on their phones-Did we mention costumes? The most outrageous and innovative will also get a prize!-And if you have the strength to lift a Mic try your skill (or guts) in our Karaoke contestDrinks included in happy hour pricing: Well cocktails with Rum, Vodka, Tequila, Whiskey, and Gin.Funtastic Fridays are held at the FAME Venue which is a historic Street Level Night Club – 6,000 sq. ft + 2 fully licensed lounges with dance floors and stage areas.",POINT (37.798048 -122.404467)
380,Drop-In Co-Working Tuesday Reservation - February 2023,"Multiple Dates Tue, Feb 28, 2023, 5:00 PM PST","Intersection for the Arts 1446 Market Street San Francisco, CA 94102","Intersection for the Arts • San Francisco, CA","Work in an inspiring environment amongst other creatives! Join us on Tuesdays from 9am - 5pm for only $10. Intersection for the Arts is centrally located in San Francisco at the Intersection of Market Street & Van Ness Avenue. Your ticket includes shared workspace within an open floor plan office, access to high-speed internet, black and white printing, copying and scanning, and complimentary coffee and tea.Advance reservations are not required (you may purchase a drop-in ticket upon arrival) however, there is a limited capacity of 40 drop-in coworkers per day. SCHEDULE: February 7, 14, 21 & 28  from 9 am - 5 pm. ACCESSIBILITY:   Elevator access is available for anyone who may need it via our Fell Street Entrance. Please notify Intersection staff at space@theintersection.org if access to this entrance is needed. REFUND POLICY: You may request a full refund (excluding Eventbrite fees) before the start of the program on the day of the workshop, after which point no refund can be processed.Please note that our COVID-19 safety precautions are still in place and we kindly ask that visitors wear masks. *Find more resources to support your creative project*",POINT (37.7759636 -122.4186049)
381,Rhythmic Therapy,"Sat, February 25, 2023, 3:00 PM – 5:00 PM PST","KIM + ONO 729 Grant Avenue San Francisco, CA 94108","KIM + ONO • San Francisco, CA","Give yourself a chance to unwind after the hectic holidays by stopping by Kim+Ono's luxurious store in the heart of San Francisco Chinatown for a unique event, Rhythmic Therapy. Here, you can enjoy relaxing live jazz music while shopping for a comfy kimono or treating yourself to unique pastries by Annie's T Cakes. Annie's T Cakes is a home bakery that specializes in vegan Chinese and Taiwanese sweets such as almond cookies, tangyuan, pineapple cakes, and mooncakes. It has been featured on Eater, KQED, and SF Chronicle. Live jazz music performance by Liu Weishan, master guzheng player, Kelly Ng, pianist, and Andy Baron, saxophone player. Liu Weishan 劉維姍 of the San Francisco Guzheng Society had played for many heads of state, including President Jimmy Carter. Please follow @sfcma on Instagram for the rest of the happenings in Chinatown.The event is open to the public. Be sure to RSVP here, and you will automatically be entered into a raffle for gift baskets of Asian treats or special teas from the Red Blossom Tea Company or a gift basket from Jade's Chocolates.",POINT (37.7937138 -122.4063206)
382,Ordinary People: A live radio show & dance party,"Sat, February 25, 2023, 7:00 PM – 10:00 PM PST","Gem Studio 1431 Martin Luther King Junior Way Oakland, CA 94612","Gem Studio • Oakland, CA","Ordinary person is a live storytelling experience  told  by Vietnamese refugees, in two parts. In the first, you’ll be taken out onto the South China Sea where over half a million Vietnamese lives were lost. In the second, we’ll follow a young person as they dream of leaving the valley of Đà Lạt. One afternoon, this dream become a reality but not before a series of as they put it, “weird, scary, bizarre events,” take place. Join us at Gem studio as we pay respect to the legacies and lost dreams of refugees, current and past. Music will be bestowed upon us by DJ Silver Raven and we’ll dance in honor of our ancestors, our dreams, and our nightmares.",POINT (37.806689 -122.275813)
383,HIIT & Run,"Multiple Dates Sat, Dec 30, 2023, 12:00 PM PST","Snow Park 19th street & Harrison Street Oakland, CA 94612","Snow Park • Oakland, CA",Our classes will be inclusive to all fitness levels. Each exercise will have modifications to lower impact/ intensity to bridge feasibility across all fitness levels. *Mat  required & we recommend bringing water to hydrate during breaks!*We are accepting donations through VENMO  --> @THE500CLUB,POINT (37.808353 -122.269959)
384,FREE Social Movements of San Francisco Walking Tour,"Multiple Dates Sat, May 20, 2023, 11:30 AM PDT","HI San Francisco Downtown 312 Mason St San Francisco, CA 94102","HI San Francisco Downtown • San Francisco, CA","This walking tour is hosted by Hostelling International USA (HI USA) and will begin at HI San Francisco Downtown Hostel. Schedule change: there will be no tour on Sat. 9/24NOTE: You must be registered and agree to the waiver in order to participate in tour. Description of tour: With a rich history of social movements, San Francisco is a city to be explored beyond its many neighborhoods.  Our San Francisco Social Movements Walking Tour navigates through past and current social movements originating in or now profoundly a part of San Francisco. Participants will visit some key locations in the city's downtown neighborhoods where the narrative connects the universal pursuit of personal and group identity dignity with economic concerns, especially land access.Where to meet: In the hostel lobby at HI San Francisco Downtown Hostel Please bring: Comfortable walking shoes, water bottle, mask. Sunscreen and a hat are also recommended. Do I need to bring Money? No, unless you want to purchase a coffee or water along the way. What is length of tour? 1 mile and approximately 2-2.5 hoursAdditional information: There will be an opportunity to use the restroom along the tour.Additional questions about the tour please email volunteer@hiusa.org with your questions. Bio of tour leader:David Giesen is a middle school English and social studies teacher, and an amateur historian and social issues fiction writer living in San Francisco. He has been leading tours as an HI USA volunteer since 1998.Waiver and Release of Liability Agreement: Please note that by submitting registration for this engagement activity you agree to HI USA’s waiver for engagement activities and HI USA’s Covid responsibilities and release of liability as listed below:  Waiver for HI USA Engagement Activities:  I understand that my participation in HI USA Engagement Activities is voluntary and I assume all risks of loss, damage or injury that may be sustained while participating in this activity, including the risk of loss, damage or injury to myself. I agree to waive and relinquish all claims I may have as a result of participating in HI USA Engagement Activities against Hostelling International; American Youth Hostels, Inc., d/b/a Hostelling International USA, (HI USA); any and all HI USA Hostels and affiliated Hostels, their respective parent, subsidiary and officers, directors, employees, attorneys, agents, contractors, subcontractors, representatives, successors, assigns, guests and volunteers. I further agree to release and discharge HI USA from any claims for injuries, including illness and/or severe bodily injury/injuries and even death, damages or loss that I may have or which may accrue to me arising out of, connected with, or in any way associated with HI USA Engagement Activities, including negligence. I agree to indemnify and hold the above released parties harmless from any and all claims, demands and/or causes of action seeking damages as a result of my participation, including reasonable attorney fees incurred in the defense of any claim, demand or cause of action. ​I understand that this agreement shall be governed by the applicable law of the State of Maryland. I waive my right to a trial by jury and agree to submit any dispute(s)/claim(s) that may arise out of my participation in any program or activity to binding arbitration in accord with the rules and regulations of the American Arbitration Association. In the event that any provision of this Agreement is determined by a court to be invalid, the remainder of this Agreement shall not be affected thereby and shall remain in force. Acknowledgement of Participant COVID-19 Responsibilities & Release of Liability: HI USA welcomes you! We have expanded operating standards for our hostels to help protect the safety and health of guests, participants, volunteers and staff during the COVID-19 pandemic.  Our operating standards and requested guest practices do change over time based on updated guidance from the CDC, OSHA and State and local Health Departments; please visit www.hiusa.org/coronovirus-preparedness prior to your participation to see the updated practices.   Currently we require staff and volunteers to understand COVID-19 symptoms and not to work or volunteer when experiencing these symptoms. Staff are required to wear masks, practice physical (6-feet) distancing, and follow CDC hand and respiratory hygiene guidelines. Volunteers are required to wear masks inside property but may take off when outside if vaccinated. We have also modified our housekeeping and cleaning procedures.   Program participants have a similar responsibility to other participants, staff and volunteers to follow COVID Responsive Practices:  Participant Acknowledgement of Responsibility and Release of Liability:",POINT (37.786376 -122.409635)
385,SHAKE YOUR GROOVE THING!,"Sat, February 25, 2023, 6:00 PM – 11:00 PM PST","Lake Merritt Veterans Memorial Building 200 Grand Avenue Oakland, CA CA","Lake Merritt Veterans Memorial Building • Oakland, CA","ABOUT THE EVENT:NOTE: this event requires masks** (See COVID and HEALTH policy details, below)Doors  open at 6:00 :: Lessons from 6:30 to 7:30 (See below) :: Dancing starts at 7:30Advance General Admission: $30 ::  Host sponsorships and legacy donations are deeply appreciated!General Admission at the Door: $40Classes from 6:30 to 7:30 - Tim Kenny: Intermediate West Coast Swing- Shin Aoki: Beginning West Coast Swing- Rob Ollander-Krane: SF Style 2-Step - beginner friendlySo whether you're an experienced dancer, or brand new, c'mon out and SHAKE YOUR GROOVE THINGOpen dancing in the main ballroom  starts at 7:30 and goes until 11PM. Dacning in the main ballroom will include Two Step, West Coast Swing, East Coast Swing, Waltz, Tango and Line Dances.  We'll have food and drinks in the lounge.Most importantly, it's a great opportunity to see your friends from the many LGBTQ dance organizations from all over the Bay Area!  It's going to be a fun night!COVID and HEALTH policy:It is our full intention to keep our community as safe as possible and still dance.  Here are our health policies:A well-fitting KN95 / N95 / KF94 mask (with no vent) covering your nose and mouth is required in the building, except in the lounge. (The lounge is a separate room where we will have snacks and drinks.  Masks are optional in the lounge.) We will not be checking vaccination status.Also you agree:-If you're sick on the day of the event, you won't attend. Contact us if you need a refund.-If you have had COVID recently, please test yourself and ensure you are testing negative. -If you are feeling fine day of the event, but you have recently been ill or have been in close contact with someone who had COVID in the last ten days,  please take a Covid test on the day of the event. Don't attend if your result is positive.NOTE: Air quality in our ballroom is excellent. The HVAC system filters the air. We test for Co2; there are very low levels of Co2 - almost as good as being outside. Before COVID, our dance communities were at risk of not being able to continue our dances at Lake Merritt. A group of dedicated leaders got together to form a new nonprofit - Lake Merritt Dance - which became the master renter with the city of Oakland. We worked hard and were off to a great start. Then COVID hit.  We reopened in August and we are, once again, in start up mode.  We need your support now as we restart, and we will continue to need your support.  Our business model relies on rent from the dance programs as well as donations from our dance communities.  Our goal is to keep rental fees to dance programs as affordable as possible. Please support us.Lake Merritt Dance is made up of   many individual dance communities. If everyone gives what they can, we will continue to be able to sustain the dance programs.  Please give generously.  Every little bit helps and we would love everyone’s support.  If you are in a position to be a Host Sponsor or Legacy Donor, we would be especially grateful.ABOUT OUR NONPROFIT AND YOUR  DONATIONLake Merritt Dance Organizers Foundation, Inc (aka Lake Merritt Dance) is a registered California nonprofit.  We have applied for 501(c)(3) status with the IRS and are awaiting a determination.  If you have have questions about our tax exempt status or the tax-deductablity of your donation, please contact us at lmdofinfo@gmail..com. See you on the dance floor for SHAKE YOUR GROOVE THING! on February 25, 2022!Please give generously. Every little bit helps and we would love everyone’s support. If you are in a position to be a Host Sponsor or Legacy Donor, we would be especially grateful.ABOUT OUR NONPROFIT AND YOUR TAX DEDUCTIBLE DONATIONLake Merritt Dance Organizers Foundation, Inc (aka Lake Merritt Dance) is a registered California nonprofit corporation. We are applying for 501c3 status from the IRS. During the application process, Lake Merritt Dance will operate under the fiscal sponsorship of Texas Rose, a 501c3 corporation.All donations are tax deductible to the extent allowed by law. Value of services delivered is $25, the price of general admission. The amount of donations above $25 is tax deductible. You will receive documentation for your donation from Texas Rose. See you on the dance floor on January 4th, 2020!",POINT (37.810912 -122.26217)
386,HellaDESI Comedy Night in San Francisco,"Multiple Dates Sat, Apr 29, 2023, 8:30 PM PST","Neck of the Woods 406 Clement Street San Francisco, CA 94118","Neck of the Woods • San Francisco, CA","About this eventIt's the return of San Francisco's epic weekly HellaDesi Comedy Night with HellaFunny and Funcheap.See a showcase of some of the Bay Area's top comedians of Indian, Pakistani, Sri Lankan, Bangladeshi, Afghan, and South Asian descent - plus the best of ""Crazy Funny Asians"" with comics of Asian descent. Let's celebrate the Bay's Desi culture and heritage with laughs.TICKETS / EVERY SATURDAY NIGHT AT 7PM$15 door - Admission is first come first servedLike all things in life, the comedy lineup is subject to change.$15 TIX AVAILABLE (50) AT DOOR - When Advanced Tix are sold outDesi Comedy Night / Comedy LineupEvery week is a new lineup. Here are some of our favorites you might see...Ruby Gill-SF SketchfestJanesh Ranlan- San Jose ImprovDhaya Lakshminarayanan-Comedy Central AsiaSureni Wereasakera-SF SketchfestArjun Bunargee-CobbsPriyanaka Wali-CobbsRaj Reina-Desi Comedy NightRyan Sudhakaran-San Jose ImprovPlus many more - including the best of ""Crazy Funny Asians""Like all things in life, the comedy lineup is subject to change.",POINT (37.7831255 -122.4637116)
387,Selecta MC & Soul7 + Levy & Michael,"Sat, Feb 25, 2023, 9:00 PM – Sun, Feb 26, 2023, 2:00 AM PST","Hawthorn 46 Geary St San Francisco, CA 94108","Hawthorn • San Francisco, CA","Main Room (Open Format, Hip Hop, Top 40): Selecta MC & Soul7Bonaparte Room (House & EDM): Levy & Michael",POINT (37.785684 -122.399261)
388,San Francisco FOR the LOVE of WINTER SPORTS MIXER by SnowPals,"Wed, February 22, 2023, 6:30 PM – 8:30 PM PST","Madrone Art Bar 500 Divisadero Street San Francisco, CA 94117","Madrone Art Bar • San Francisco, CA","Join in the fun on 2/22, 6:30 PM -8:30 PM at Madrone Art Bar at 500 Divisadero at Fell in the Lower Haight - click for driving directions or take UBER, BART.Y﻿our SnowPals' host for this event: Shahid Buttar who is a regular DJ at Madrone (every second Wednesday).About Shahid:M﻿ore about his music, listen on:https://www.mixcloud.com/shahid-buttar/stream/a﻿nd on Spotify at https://open.spotify.comAbout SnowPals (since 1999)Make the most out of Tahoe snow sports (resort, backcountry skiing, nordic cross country skiing, ice skating, etc) - if you know of family and/or friends who like snow sports, please share our website link, SnowPals.org with them. Thank youFind or offer rides athttp://www.snowpals.org/info/tahoe-rideshare/Keep up with slope-side news and get the scoop on Tahoe deals: resorts, lodging, travel, good eats; view the Tahoe ski bus trip schedule athttp://www.snowpals.org/deals/tahoe-ski-bus/Join the largest snow-sports club (8k+ members - info on membership at http://www.snowpals.org/how-to-join-snowpals/) for SF Bay Area busy professionals to connect for powder ski, ride trips to Tahoe and engage in POWDER hound trips to POW travel destinations covered by your Ikon, Epic Pass ;)GoPro 1 minute POWDER video : enter our “shred the POW video contest” Prizes are three deep with a first prize of $100 resort credit, or a restaurant gift card(any restaurant your pick) or apply the credit to next year’s season pass (IKON pass, Epic Pass, Mountain Collective Pass, Indy Pass, Powder Alliance Pass or any other pass your heart desires).How to enter the contest details athttps://twitter.com/SnowPalsDotOrgSnowPals will be hosting our big 25th anniversary celebration event next winter, 2023/24 ski season, get on our invite list for a party to remember athttp://www.snowpals.org/events/#invites For those who are single, meet that special someone who shares your love for snow sports w/ our fun speed dating event which will be held before the party.Engage with us at our upcoming events/meetups/mixers athttp://www.snowpals.org/events/We're looking to add event organizers to our event crew to plan our upcoming events; love of snow sports and past experience a plus; send email to:  contactus [at] snowpals.org to get the ball rolling. Paid gig or volunteer to get perks like lift tickets and Tahoe bus trips.- Got an Ikon / Epic Pass? Want to join a Lake Tahoe area ski lease for the winter? Browse listings athttp://www.snowpals.org/leases/- Lake Tahoe area vacation rentals for rent on a daily, weekly or monthly basis; browse listings athttp://www.snowpals.org/tahoe-rentals/- Are you a Lake Tahoe area  property owner looking to rent out your second home as a ski lease? Tips on how to write effective ski lease/vacation rental contract:http://www.snowpals.org/2021/tips-for-drafting-ski-lease-rental-agreements/t﻿ags: ski, snowboarding, snow sports, music, dj mix music, wine, cocktails, san francisco, sf, bay area, san mateo, oakland, berkeley, danville, sonoma, santa rosa, lake tahoe, sierra",POINT (37.7741994 -122.4374971)
389,ADEL ALDAOUD,"Fri, Feb 24, 2023, 9:00 PM – Sat, Feb 25, 2023, 2:00 AM PST","1429 San Mateo Ave 1429 San Mateo Avenue South San Francisco, CA 94080","1429 San Mateo Ave • South San Francisco, CA",,POINT (37.6455381 -122.4101292)
390,3rd Annual Black Centric Showcase,"Sat, February 25, 2023, 3:00 PM – 9:00 PM PST","Laney College 900 Fallon St Oakland, CA 94801","Laney College • Oakland, CA","The Showcase will feature talents to perform all eras of black history: Where we are from, Where we have been, and Where are we going! Monologues, skits, dance, rap, song, and featuring the stage production ""Unapologetically Black: Here To Facilitate Harm Reduction Services For Those In Need, Inc. written by Itoro Bassey.",POINT (37.7942491 -122.2607931)
391,Conversation with Prof Wang Dan: Sustaining Resistance on Overseas Campuses,"Fri, February 24, 2023, 7:30 PM – 10:00 PM PST","University of California, Berkeley UC Berkeley Berkeley, CA 94720","University of California, Berkeley • Berkeley, CA","Democratic movement organizer, human rights advocate, and professor at the National  Taiwan Tsing Hua University, Wang Dan will be holding a small group salon on the UC Berkeley campus to share his experiences.In an age of tightening restrictions on social gatherings and online content, Professor Wang will be discussing with students and scholars on how democratic resistance movements could become sustainable overseas, how to grow alliances, and how communities facing political exile could seek mutual support in ensuring emotional well-being. Date: Friday, February 24, 2023Time: 8 PMVenue: UC Berkeley, CAFree for students/ scholars/ faculty at a tertiary institutionLanguage: primarily Mandarin, Cantonese and English translations providedRSVP required, Link in BioThe exact location will be disclosed in the confirmation email following successful registration.The exact location will be disclosed through email upon RSVP, and proof of student or faculty statuses has to be displayed upon entry. No personal information will be collected.國立清華大學教授民主運動人仕、人權倡導丹將加州大學柏克萊分校舉辦沙龍，與年青人對話探討民主人權話題。在民間組織生存空間日下，網上言論、出版自由越趨收緊的當今，王教授將與眾同學與學者探討如何在海外高校延續抗爭運動，與其他族羣建立聯盟關係、散播抗爭理念的方法，以及海外政治流亡團體應如何面對挫敗與相互扶持。日期：二〇二三年二月二十四日（星期五）時間：下午七時半入場地點：加州大學柏克萊分校（UC Berkeley）語言：主要為普通話，會提供粵語和英語翻譯活動對高校學生、學者與教職員免費具體位置將於報名成功後於確認電郵中註明進場時，需出示學生證等可以證明與所申報之學校之關係之文件以證明身份。不會記錄任何個人資料。",POINT (37.873838 -122.254934)
392,Qigong - A Somatic Approach to Movement Meditation with Melissa Forester,"Wed, February 22, 2023, 6:30 PM – 8:00 PM PST","The Berkeley Alembic 2820 Seventh Street Berkeley, CA 94710","The Berkeley Alembic • Berkeley, CA","Using movement awareness and tissue preparation exercises, we will prepare the structure such that the energy body naturally awakens, purifies, organizes, and contains.  Creating this vessel will enable an approach to energetic meditation which will lead to insight and a clarity of thought and action.  Logistics:1. The front door to The Alembic auto-locks, and since we don't want our volunteer to miss the class, the door will be locked at 6:30 pm. Please arrive with ample time to settle in.2. There is ample free parking - details and directions will be in your confirmation email.About the teacher: Since 2005 Melissa has trained at the Institute for Internal Transformation in Qigong, Taiji and body mechanics and was given teaching permission in 2009. In 2010 she was certified in the GYROTONIC® Method and is certified in the Pulley Tower, Gyrotoner, and Jump Stretching Board. She began her training in Aquatic Manual Therapy in 2017 and holds a BA in Anthropology from San Francisco State University. Melissa has a passion for learning and for paving a road to insight using somatic movement therapy.",POINT (37.854903 -122.292503)
393,Home Buyer Happy Hour,"Thu, February 23, 2023, 5:30 PM – 7:30 PM PST","Broadstone Axis 2820 Broadway Oakland, CA 94611","Broadstone Axis • Oakland, CA",Topics of Discussion,POINT (37.816565 -122.26358)
394,Scott O'Day Tango Trio,"Sat, February 25, 2023, 7:30 PM – 9:00 PM PST","Red Poppy Art House 2698 Folsom Street San Francisco, CA 94110","Red Poppy Art House • San Francisco, CA","----------------------------------------COVID-19 Precautions:Please read the following information before purchasing your ticket: - Please be advised that no concessions will be served during the event* - All guests will be required to provide proof of COVID-19 vaccinations  and a photo ID at the door to gain entry and wear a face mask properly at all time inside the space. ----------------------------------------When should I arrive?Doors open 30 minutes before the scheduled performance time. For example, if the show is scheduled to start at 7:30pm, the doors will open at 7:00pm. If the show is scheduled to start at 8:00pm, the doors will open at 7:30pm, and so on.If an event is sold out online, could I still purchase tickets? No Does purchasing an advance ticket guarantee seating?Purchasing an advance ticket guarantees admission, but does not guarantee seats. Seating is first come, first served.Does the Poppy accept debit or credit cards? Only for online sale. Door sale is cash.What's the refund policy?Refunds are only available in the event of a cancelled performance.Are there ID or minimum age requirements to enter the event? Is there a discount for children?No, this event is all ages. However, refreshments will be served at the concessions counter. Children 10 and under receive free general admission.Where are my tickets?Your tickets will be emailed to you as a PDF attachment from Eventbrite on behalf of the Red Poppy, or you may access them in the Eventbrite app. If you do not see your order confirmation in your inbox, make sure to check your junk/spam folder. Enter your email address here if you can’t find them, you’re having trouble printing, or if you’re not sure if you have an Eventbrite account. For all other technical issues, you can find help here.Do I have to bring my printed ticket to the event?You may bring your printed ticket or show your ticket on your phone. There will be no tickets available for pick up at Will Call.Is it ok if the name on my ticket or registration doesn't match the person who attends?Yes, you’re welcome to purchase tickets for someone else.Is the space ADA accessible?Yes, there is a ramp at our 23rd St entrance.What kind of seating do you have available?For most of our events we have folding chairs and a few couches available.What are my transportation/parking options for getting to and from the event?Street parking is available but can be limited around the Red Poppy. We encourage you to take public transportation whenever possible. Several MUNI lines run close to the Red Poppy, and the 24th St. Mission BART station is just under half a mile away.How can I donate to the Poppy?You may bring cash, check, debit or credit card, or donate online at http://redpoppyarthouse.org/participate/give/.Where can I grab a bite to eat?Nearby places include El Farolito, Taqueria Vallarta, Basa Seafood Express (sushi), and Farmhouse Kitchen Thai Cuisine. For more options, click here. How can I contact the organizer with any questions?You can reach us at info@redpoppyarthouse.org",POINT (37.7542 -122.414423)
395,"""ELECTRIC"" SINGLE RELEASE PARTY","Thu, February 23, 2023, 7:30 PM – 10:30 PM PST","Hyde Street Studios 245 Hyde Street San Francisco, CA 94102","Hyde Street Studios • San Francisco, CA",,POINT (37.782992 -122.415835)
